Time,PAR,tsec,date
2013-07-27T04:05:44Z,1.2,14744,2013-07-27
2013-07-27T04:06:14Z,1.2,14774,2013-07-27
2013-07-27T04:06:44Z,1.2,14804,2013-07-27
2013-07-27T04:07:14Z,1.2,14834,2013-07-27
2013-07-27T04:07:44Z,1.2,14864,2013-07-27
2013-07-27T04:08:14Z,1.2,14894,2013-07-27
2013-07-27T04:08:44Z,1.2,14924,2013-07-27
2013-07-27T04:09:14Z,1.2,14954,2013-07-27
2013-07-27T04:09:44Z,1.2,14984,2013-07-27
2013-07-27T04:10:14Z,1.2,15014,2013-07-27
2013-07-27T04:10:44Z,1.2,15044,2013-07-27
2013-07-27T04:11:14Z,1.2,15074,2013-07-27
2013-07-27T04:11:44Z,1.2,15104,2013-07-27
2013-07-27T04:12:14Z,1.2,15134,2013-07-27
2013-07-27T04:12:44Z,1.2,15164,2013-07-27
2013-07-27T04:13:14Z,1.2,15194,2013-07-27
2013-07-27T04:13:44Z,1.2,15224,2013-07-27
2013-07-27T04:14:14Z,1.2,15254,2013-07-27
2013-07-27T04:14:44Z,1.2,15284,2013-07-27
2013-07-27T04:15:14Z,1.2,15314,2013-07-27
2013-07-27T04:15:44Z,1.2,15344,2013-07-27
2013-07-27T04:16:14Z,1.2,15374,2013-07-27
2013-07-27T04:16:44Z,1.2,15404,2013-07-27
2013-07-27T04:17:14Z,1.2,15434,2013-07-27
2013-07-27T04:17:44Z,1.2,15464,2013-07-27
2013-07-27T04:18:14Z,1.2,15494,2013-07-27
2013-07-27T04:18:44Z,1.2,15524,2013-07-27
2013-07-27T04:19:14Z,1.2,15554,2013-07-27
2013-07-27T04:19:44Z,1.2,15584,2013-07-27
2013-07-27T04:20:14Z,1.2,15614,2013-07-27
2013-07-27T04:20:44Z,1.2,15644,2013-07-27
2013-07-27T04:21:14Z,1.2,15674,2013-07-27
2013-07-27T04:21:44Z,1.2,15704,2013-07-27
2013-07-27T04:22:14Z,1.2,15734,2013-07-27
2013-07-27T04:22:44Z,1.2,15764,2013-07-27
2013-07-27T04:23:14Z,1.2,15794,2013-07-27
2013-07-27T04:23:44Z,1.2,15824,2013-07-27
2013-07-27T04:24:14Z,1.2,15854,2013-07-27
